Schema Analysis Results
==================================================
Analysis Date: 2025-08-03 02:49:01
Cutoff Date: 2025-06-04 02:47:56

Schemas to migrate to /dev/sda1 (>60 days):
  MaxZhang_Cullinan_167_100reads_20240917 - 151.56 MB - 320 days old
  MaxZhang_Cullinan_169_100reads_20240917 - 151.56 MB - 320 days old
  MaxZhang_Cullinan_172_100reads_20240917 - 151.56 MB - 320 days old
  MaxZhang_Cullinan_178_10k_20241004 - 203.09 MB - 303 days old
  MaxZhang_Cullinan_179_10k_20241005 - 13.64 MB - 302 days old
  MaxZhang_Cullinan_180_10k_20241106 - 74.27 MB - 270 days old
  MaxZhang_Cullinan_181_10k_20241110 - 535.02 MB - 266 days old
  MaxZhang_Cullinan_183_KPI_20241204 - 568.80 MB - 242 days old
  MaxZhang_Cullinan_182_KPI_20241204 - 13.64 MB - 242 days old
  MaxZhang_Cullinan_186_KPI_20241214 - 493.47 MB - 232 days old
  MaxZhang_Cullinan_185_KPI_20241214 - 489.08 MB - 232 days old
  MaxZhang_Cullinan_183_100readafter_20241227 - 1.33 GB - 219 days old
  MaxZhang_Cullinan_183_100readbefore_20241227 - 1.33 GB - 219 days old
  MaxZhang_Cullinan_185_100readafter_20241227 - 1.33 GB - 219 days old
  MaxZhang_Cullinan_185_100readbefore_20241227 - 1.33 GB - 219 days old
  MaxZhang_Cullinan_186_100readafter_20241227 - 1.33 GB - 219 days old
  MaxZhang_Cullinan_186_100readbefore_20241227 - 1.33 GB - 219 days old
  MaxZhang_Cullinan_183_100read1k_20250101 - 1.33 GB - 214 days old
  MaxZhang_Cullinan_185_100read10k_20250108 - 1.33 GB - 207 days old
  MaxZhang_Cullinan_183_100ReadRAC2Reset_20250109 - 1.44 GB - 206 days old
  MaxZhang_Cullinan_183_100ReadRAC1Reset_20250109 - 1.33 GB - 206 days old
  MaxZhang_Cullinan_183_100ReadRAC2_20250109 - 1.33 GB - 206 days old
  MaxZhang_Cullinan_185_100ReadRAC1Reset_20250109 - 1.33 GB - 206 days old
  MaxZhang_Cullinan_185_100ReadRAC2Reset_20250109 - 1.33 GB - 206 days old
  MaxZhang_Cullinan_185_100ReadRAC2_20250109 - 1.33 GB - 206 days old
  MaxZhang_Cullinan_186_100ReadRAC1Reset_20250109 - 1.33 GB - 206 days old
  MaxZhang_Cullinan_186_100ReadRAC2Reset_20250109 - 1.33 GB - 206 days old
  MaxZhang_Cullinan_186_100ReadRAC2_20250109 - 1.33 GB - 206 days old
  MaxZhang_Cullinan_183_100Read_RAC3_20250119091218 - 1.33 GB - 195 days old
  MaxZhang_Cullinan_186_100Read_RAC3_20250119091605 - 1.33 GB - 195 days old
  MaxZhang_Cullinan_183_100Read_RAC3Reset_20250119091720 - 1.33 GB - 195 days old
  MaxZhang_Cullinan_186_100Read_RAC2Reset_20250119091933 - 1.33 GB - 195 days old
  MaxZhang_Cullinan_183_POR_KPI_20250121104308 - 24.09 MB - 193 days old
  MaxZhang_Cullinan_164_100Read_DummyR_20250127073116 - 17.69 MB - 187 days old
  MaxZhang_Cullinan_164_KPI_RAC_20250131214057 - 42.44 MB - 183 days old
  MaxZhang_Cullinan_124_na_na_read_20250203103144 - 40.92 MB - 180 days old
  MaxZhang_Cullinan_122_NA_NA_Read_20250203104136 - 336.47 MB - 180 days old
  MaxZhang_Cullinan_2325_NYC_JE7_F11_20250210114950 - 15.16 MB - 173 days old
  MaxZhang_Cullinan_2325_NYC_JB6_H09_20250210115954 - 322.83 MB - 173 days old
  MaxZhang_Cullinan_2331_NYC_JH1_I11_20250210121218 - 248.56 MB - 173 days old
  MaxZhang_Cullinan_2331_JH1_I03_KPI_20250327082452 - 183.39 MB - 128 days old
  MaxZhang_Cullinan_2331_JH1_I05_KPI_20250327084132 - 271.30 MB - 128 days old
  MaxZhang_Cullinan_2331_JH1_I07_KPI_20250327085106 - 51.53 MB - 128 days old
  MaxZhang_Cullinan_2331_JH1_I09_KPI_20250327085701 - 51.53 MB - 128 days old
  chin_FLINT_TT28_2_5fbfa306_R7Round2_20250409053854 - 53.28 MB - 115 days old
  chin_FLINT_TT28_3_5fbfa306_R7Round2_20250409070909 - 125.78 MB - 115 days old
  chin_FLINT_TT28_4_5fbfa306_R7Round2_20250409085756 - 47.86 MB - 115 days old
  alisa_FLINT_TT15_0_5fbfa306_readTest_20250409093328 - 3.08 MB - 115 days old
  apierre_FLINT_TT12_4_90eba3a4_PFTDV6_20250409100359 - 16.12 MB - 115 days old
  apierre_FLINT_TT12_4_409305aa_PFTDV6_20250409100359 - 14.75 MB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_StdDOEformed_20250409100609 - 10.17 MB - 115 days old
  chin_FLINT_TT28_5_5fbfa306_R7Round2_20250409103210 - 73.45 MB - 115 days old
  fuxicai_FLINT_TT51_5_48a135a7_ECC_20250409111545 - 288.00 KB - 115 days old
  apierre_FLINT_TT12_4_90eba3a4_PFTDV6_20250409124458 - 9.92 MB - 115 days old
  apierre_FLINT_TT12_4_409305aa_PFTDV6_20250409124458 - 288.00 KB - 115 days old
  alisa_FLINT_TT1_0_5fbfa306_readTest_20250409133859 - 16.00 KB - 115 days old
  alisa_FLINT_TT1_1_5fbfa306_readTest_20250409134038 - 16.00 KB - 115 days old
  alisa_FLINT_TT1_2_5fbfa306_readTest_20250409134144 - 16.00 KB - 115 days old
  alisa_FLINT_TT1_3_5fbfa306_readTest_20250409134320 - 16.00 KB - 115 days old
  alisa_FLINT_TT1_4_5fbfa306_readTest_20250409134426 - 16.00 KB - 115 days old
  alisa_FLINT_TT1_5_5fbfa306_readTest_20250409134539 - 16.00 KB - 115 days old
  alisa_FLINT_TT10_0_5fbfa306_readTest_20250409134955 - 2.27 MB - 115 days old
  alisa_FLINT_TT10_1_5fbfa306_readTest_20250409135101 - 16.00 KB - 115 days old
  alisa_FLINT_TT10_2_5fbfa306_readTest_20250409135213 - 16.00 KB - 115 days old
  alisa_FLINT_TT10_3_5fbfa306_readTest_20250409135325 - 16.00 KB - 115 days old
  alisa_FLINT_TT10_4_5fbfa306_readTest_20250409135439 - 16.00 KB - 115 days old
  alisa_FLINT_TT10_5_5fbfa306_readTest_20250409135552 - 16.00 KB - 115 days old
  alisa_FLINT_TT13_0_5fbfa306_readTest_20250409135902 - 16.00 KB - 115 days old
  alisa_FLINT_TT13_1_5fbfa306_readTest_20250409140008 - 16.00 KB - 115 days old
  alisa_FLINT_TT13_2_5fbfa306_readTest_20250409140121 - 16.00 KB - 115 days old
  alisa_FLINT_TT13_3_5fbfa306_readTest_20250409140236 - 16.00 KB - 115 days old
  alisa_FLINT_TT13_4_5fbfa306_readTest_20250409140350 - 16.00 KB - 115 days old
  alisa_FLINT_TT13_5_5fbfa306_readTest_20250409140503 - 16.00 KB - 115 days old
  alisa_FLINT_TT14_0_5fbfa306_readTest_20250409140841 - 16.00 KB - 115 days old
  alisa_FLINT_TT14_1_5fbfa306_readTest_20250409140948 - 16.00 KB - 115 days old
  alisa_FLINT_TT14_2_5fbfa306_readTest_20250409141100 - 16.00 KB - 115 days old
  alisa_FLINT_TT14_3_5fbfa306_readTest_20250409141213 - 16.00 KB - 115 days old
  alisa_FLINT_TT14_4_5fbfa306_readTest_20250409141325 - 16.00 KB - 115 days old
  alisa_FLINT_TT14_5_5fbfa306_readTest_20250409141437 - 16.00 KB - 115 days old
  alisa_FLINT_TT15_0_5fbfa306_readTest_20250409141805 - 16.00 KB - 115 days old
  alisa_FLINT_TT15_1_5fbfa306_readTest_20250409141910 - 16.00 KB - 115 days old
  alisa_FLINT_TT15_2_5fbfa306_readTest_20250409142022 - 16.00 KB - 115 days old
  alisa_FLINT_TT15_3_5fbfa306_readTest_20250409142135 - 16.00 KB - 115 days old
  alisa_FLINT_TT15_4_5fbfa306_readTest_20250409142248 - 16.00 KB - 115 days old
  maguser_FLINT_F_0_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_F_1_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_F_2_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_F_3_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_F_4_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_F_5_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_G_0_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_G_1_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_G_2_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_G_3_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_G_4_na_na_20250409142336 - 118.22 MB - 115 days old
  maguser_FLINT_G_5_na_na_20250409142336 - 118.22 MB - 115 days old
  alisa_FLINT_TT15_5_5fbfa306_readTest_20250409142400 - 16.00 KB - 115 days old
  alisa_FLINT_TT17_0_5fbfa306_readTest_20250409143218 - 16.00 KB - 115 days old
  alisa_FLINT_TT17_1_5fbfa306_readTest_20250409143322 - 16.00 KB - 115 days old
  alisa_FLINT_TT17_2_5fbfa306_readTest_20250409143433 - 16.00 KB - 115 days old
  mingyi_FLINT_TT16_3_bacdaaa9_D165R10P2a_20250409143516 - 6.09 MB - 115 days old
  alisa_FLINT_TT17_3_5fbfa306_readTest_20250409143545 - 16.00 KB - 115 days old
  alisa_FLINT_TT17_4_5fbfa306_readTest_20250409143655 - 16.00 KB - 115 days old
  alisa_FLINT_TT17_5_5fbfa306_readTest_20250409143807 - 16.00 KB - 115 days old
  alisa_FLINT_TT18_0_5fbfa306_readTest_20250409144046 - 16.00 KB - 115 days old
  alisa_FLINT_TT18_1_5fbfa306_readTest_20250409144150 - 16.00 KB - 115 days old
  alisa_FLINT_TT18_2_5fbfa306_readTest_20250409144301 - 16.00 KB - 115 days old
  alisa_FLINT_TT18_3_5fbfa306_readTest_20250409144411 - 16.00 KB - 115 days old
  alisa_FLINT_TT18_4_5fbfa306_readTest_20250409144522 - 16.00 KB - 115 days old
  alisa_FLINT_TT18_5_5fbfa306_readTest_20250409144634 - 16.00 KB - 115 days old
  alisa_FLINT_TT21_0_5fbfa306_readTest_20250409145137 - 16.00 KB - 115 days old
